HR_EARN_CODE_ID,EARN_CODE,DESCR,OVT_EARN_CODE,ACCRUAL_CATEGORY,INFLATE_MIN_HOURS,INFLATE_FACTOR,LEAVE_PLAN,ACCRUAL_BAL_ACTION,FRACT_TIME_ALLOWD,ROUND_OPT,ELIGIBLE_FOR_ACC,AFFECT_PAY,ALLOW_SCHD_LEAVE,FMLA,WORKMANS_COMP,DEF_TIME,ALLOW_NEGATIVE_ACC_BALANCE,RECORD_METHOD,EFFDT,ACTIVE,COUNT_AS_REG_PAY
1,AFL,Absent FMLA,N,NULL,0,1,LEAVE,U,99.99,T,N,Y,N,Y,N,0,N,H,2010-01-01,Y,Y
2,ANS,Absent no Benefits,N,NULL,0,1,LEAVE,U,99.99,T,N,Y,N,N,N,0,N,H,2010-01-01,Y,Y
3,AWB,Absent with Benefits,N,NULL,0,1,LEAVE,U,99.99,T,Y,Y,N,N,N,0,N,H,2010-01-01,Y,Y
4,AWL,Absent Worker's Comp,N,NULL,0,1,LEAVE,U,99.99,T,N,Y,N,N,Y,0,N,H,2010-01-01,Y,Y
5,CAL,Call Back Comp,N,NULL,3,1.5,NULL,A,99.99,T,N,N,N,N,N,0,N,T,2010-01-01,Y,N
6,CPH,Comp Time - Hourly,Y,NULL,0,1.5,NULL,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
7,CPN,Comp Time - Non-Exempt,Y,CPN,0,1.5,TK-LEAVE,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
8,CPNU,Comp Time Usage,N,CPN,0,1,TK-LEAVE,U,99.99,T,Y,N,Y,N,N,0,N,H,2010-01-01,Y,Y
9,DOT,Daily Overtime,Y,NULL,0,1,NULL,N,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
10,EC1,EC1 - Security,N,NULL,0,1,NULL,N,99.99,T,Y,N,N,N,N,0,N,H,2010-01-01,Y,N
11,ECA,ECA - Earn code with Amount,N,NULL,0,1,NULL,N,99.99,T,Y,N,N,N,N,0,N,A,2010-01-01,Y,N
12,ECD,ECD - Earn code with Day,N,NULL,0,1,NULL,N,99.99,T,Y,N,N,N,N,0,N,D,2010-01-01,Y,N
13,ECF,ECF - Earn code Fractional,N,NULL,0,1,NULL,N,99,T,Y,N,N,N,N,0,N,H,2010-01-01,Y,N
14,ECHR,ECHR - Security,N,NULL,0,1,NULL,N,99.99,T,Y,N,N,N,N,0,N,H,2010-01-01,Y,N
15,ECNE,ECNE - Security,N,NULL,0,1,NULL,N,99.99,T,Y,N,N,N,N,0,N,H,2010-01-01,Y,N
16,ECX2,ECX2 - Inflate xs 2,N,NULL,4,2,NULL,N,99.99,T,Y,N,N,N,N,0,N,H,2010-01-01,Y,N
17,FMLA,FMLA Earn Code,N,NULL,0,1,NULL,N,99.99,T,Y,N,Y,Y,N,0,N,H,2010-01-01,Y,N
18,LFNRL,Funeral Leave,N,LSCK,0,1,LEAVE,U,99.99,T,Y,N,N,N,N,0,N,H,2010-01-01,Y,Y
19,LHOL,Holiday,N,LHOL,0,1,LEAVE,U,99.99,T,Y,N,Y,N,N,0,N,H,2010-01-01,Y,Y
20,LSCK,Sick,N,LSCK,0,1,LEAVE,U,99.99,T,Y,N,N,N,N,0,N,H,2010-01-01,Y,Y
21,LVAC,Vacation,N,LVAC,0,1,LEAVE,U,99.99,T,Y,N,Y,N,N,0,N,H,2010-01-01,Y,Y
22,OVT,Overtime,Y,NULL,0,1,NULL,N,99.99,T,N,N,N,N,N,0,N,T,2010-01-01,Y,N
23,RGE,Regular Pay Exempt,N,NULL,0,1,NULL,N,99.99,T,Y,N,N,N,N,0,N,T,2010-01-01,Y,Y
24,RGH,Regular Pay Hourly,N,NULL,0,1,NULL,N,99.99,T,Y,N,N,N,N,0,N,T,2010-01-01,Y,Y
25,RGN,Regular Pay Non-Exempt,N,NULL,0,1,NULL,N,99.99,T,Y,N,N,N,N,0,N,T,2010-01-01,Y,Y
26,SHHR,HR Shift Earn Code,N,NULL,0,1,NULL,N,99.99,T,N,N,N,N,N,0,N,T,2010-01-01,Y,N
27,SHTE,NE Shift Earn Code,N,NULL,0,1,NULL,N,99.99,T,N,N,N,N,N,0,N,T,2010-01-01,Y,N
28,TFNRL,Funeral Leave,N,TSCK,0,1,TK-LEAVE,U,99.99,T,Y,N,N,N,N,0,N,H,2010-01-01,Y,Y
29,THOL,Holiday,N,THOL,0,1,TK-LEAVE,U,99.99,T,Y,N,Y,N,N,0,N,H,2010-01-01,Y,Y
30,TSCK,Sick,N,TSCK,0,1,TK-LEAVE,U,99.99,T,Y,N,N,N,N,0,N,H,2010-01-01,Y,Y
31,TVAC,Vacation,N,TVAC,0,1,TK-LEAVE,U,99.99,T,Y,N,Y,N,N,0,N,H,2010-01-01,Y,Y
32,WCMP,WCMP Earn Code,N,NULL,0,1,NULL,N,99.99,T,Y,N,Y,N,Y,0,N,H,2010-01-01,Y,N
33,LUN,Lunch,N,NULL,0,1,NULL,N,99.99,T,N,N,Y,N,N,NULL,N,H,2010-01-01,Y,N
34,TAFL,Absent FMLA,N,NULL,0,1,TK-LEAVE,U,99.99,T,N,Y,N,Y,N,0,N,H,2010-01-01,Y,Y
35,TANS,Absent no Benefits,N,NULL,0,1,TK-LEAVE,U,99.99,T,N,Y,N,N,N,0,N,H,2010-01-01,Y,Y
36,TAWB,Absent with Benefits,N,NULL,0,1,TK-LEAVE,U,99.99,T,Y,Y,N,N,N,0,N,H,2010-01-01,Y,Y
37,TAWL,Absent Worker's Comp,N,NULL,0,1,TK-LEAVE,U,99.99,T,N,Y,N,N,Y,0,N,H,2010-01-01,Y,Y
38,ADAYA,Daily Accrual,N,ADAY,0,1,ACCRUAL,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
39,AWKA,Weekly Accrual,N,AWK,0,1,ACCRUAL,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
40,ASMA,Semi Monthly Accrual,N,ASM,0,1,ACCRUAL,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
41,AYRA,Yearly Accrual,N,AYR,0,1,ACCRUAL,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
42,AR2A,Accrual Rule 2,N,AR2,0,1,ACCRULE,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
43,AR3A,Accrual Rule 3,N,AR3,0,1,ACCRULE,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
44,AR4A,Accrual Rule 4,N,AR4,0,1,ACCRULE,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
45,MBTA,MBTA,N,MBTA,0,1,MAXBTA,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
46,MBPA,MBPA,N,MBPA,0,1,MAXBPA,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
47,MBLA,MBLA,N,MBLA,0,1,MAXBLA,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
48,MBTY,MBTY,N,MBTY,0,1,MAXBTY,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
49,MBPY,MBPY,N,MBPY,0,1,MAXBPY,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
50,MBLY,MBLY,N,MBLY,0,1,MAXBLY,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
51,MBTR,MBTR,N,MBTR,0,1,MAXBTR,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
52,MBPR,MBPR,N,MBPR,0,1,MAXBPR,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
53,TRSFA,TRSF Appr,N,TRSFA,0,1,MAXBTA,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
54,TRSFY,TRSF YE,N,TRSFY,0,1,MAXBTY,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
55,TRSFR,TRSF Req,N,TRSFR,0,1,MAXBTR,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
56,S1VACA,Staff 1 Vacation Accrual,N,S1VAC,0,1,STAFF1,A,99,T,N,N,Y,N,N,0,N,D,2010-01-01,Y,N
57,S1VACU,Staff 1 Vacation Accrual,N,S1VAC,0,1,STAFF1,U,99,T,Y,N,N,N,N,0,N,D,2010-01-01,Y,N
58,S1SCKA,Staff 1 Sick Accrual,N,S1SCK,0,1,STAFF1,A,99,T,N,N,Y,N,N,0,N,D,2010-01-01,Y,N
59,S1SCKU,Staff 1 Sick Accrual,N,S1SCK,0,1,STAFF1,U,99,T,Y,N,N,N,N,0,N,D,2010-01-01,Y,N
60,S2VACA,Staff 2 Vacation Accrual,N,S2VAC,0,1,STAFF2,A,99.9,T,N,N,Y,N,N,0,N,H,2010-01-01,Y,N
61,S2VACU,Staff 2 Vacation Accrual,N,S2VAC,0,1,STAFF2,U,99.9,T,Y,N,N,N,N,0,N,H,2010-01-01,Y,N
62,S2SCKA,Staff 2 Sick Accrual,N,S2SCK,0,1,STAFF2,A,99.9,T,N,N,Y,N,N,0,N,H,2010-01-01,Y,N
63,S2SCKU,Staff 2 Sick Accrual,N,S2SCK,0,1,STAFF2,U,99.9,T,Y,N,N,N,N,0,N,H,2010-01-01,Y,N
64,POUTA,POUT Appr,N,POUTA,0,1,MAXBPA,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
65,POUTY,POUT YE,N,POUTY,0,1,MAXBPY,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
66,POUTR,POUT Req,N,POUTR,0,1,MAXBPR,A,99.99,T,N,N,N,N,N,0,N,H,2010-01-01,Y,N
