FIN_COA_CD,ACCOUNT_NBR,ACCOUNT_NM,ORG_CD,ACCT_CREATE_DT,ACCT_EFFECT_DT,ACCT_EXPIRATION_DT,ACCT_CLOSED_IND,OBJ_ID,VER_NBR
BA,6020505,I U BOOKSTORE,BOOK,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,Y,c44c320c-f0f1-11e0-b437-123139104432,1
BA,6030533,ASHTON I-GRAD RES CTR,AWSH,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c456a30e-f0f1-11e0-b437-123139104432,1
BA,6030552,EDMONDSON DINING HALL,CODR,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c46400f8-f0f1-11e0-b437-123139104432,1
BA,6031000,EVERMANN APTS 3,EVAH,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c46e47ac-f0f1-11e0-b437-123139104432,1
BA,6031128,FOREST QUADRANGLE RESIDENCE,FRSH,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c47897ca-f0f1-11e0-b437-123139104432,1
BA,6031226,GRESHAM DINING ROOM,GRDR,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c483ad9a-f0f1-11e0-b437-123139104432,1
BA,6032000,UNION STR CENTER,ASSH,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c4978aa4-f0f1-11e0-b437-123139104432,1
BA,6032002,UNION STR DINING,USDR,2010-01-11 00:00:00,2010-01-11 00:00:00,2049-01-01 00:00:00,N,c4a1ec4c-f0f1-11e0-b437-123139104432,1
BA,6032528,BRISCOE QUAD-RESIDENCE,BRSH,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c4b6908e-f0f1-11e0-b437-123139104432,1
BA,6033528,MCNUTT QUAD RESIDENCE,MNSH,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c4c0f8da-f0f1-11e0-b437-123139104432,1
BA,6033529,MCNUTT QUAD DINING ROOM,MNDR,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c4cc615c-f0f1-11e0-b437-123139104432,1
BA,6033540,BALLENTINE HALL DINING ROOM,BHDR,2003-09-05 00:00:00,2003-09-05 00:00:00,2049-01-01 00:00:00,N,c4d6b760-f0f1-11e0-b437-123139104432,1
BA,6034052,GOV JOS A WRIGHT QUAD,WRSH,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c4e2a2be-f0f1-11e0-b437-123139104432,1
BA,6034053,WRIGHT QUAD DINING HALL,WPDR,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c4ed10c8-f0f1-11e0-b437-123139104432,1
BA,6034054,WRIGHT CONV STORE,WRCS,1995-07-07 00:00:00,1995-07-07 00:00:00,2049-01-01 00:00:00,N,c504da8c-f0f1-11e0-b437-123139104432,1
BA,6035093,READ HALL DINING ROOM,REDR,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c50f2cda-f0f1-11e0-b437-123139104432,1
BA,6035582,NELLIE S TETER QUADRANGLE,TESH,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c519827a-f0f1-11e0-b437-123139104432,1
BA,6036493,WENDELL WILLKIE QUAD D R,WWDR,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c523d874-f0f1-11e0-b437-123139104432,1
BA,6037200,JORDAN HALL DINING,JHDR,2004-01-23 00:00:00,2004-01-23 00:00:00,2049-01-01 00:00:00,N,c5371e0c-f0f1-11e0-b437-123139104432,1
BA,6041403,AUD FACILITY BOX OFFICE,FAC,1990-04-16 00:00:00,1990-04-16 00:00:00,2049-01-01 00:00:00,N,c54c03b2-f0f1-11e0-b437-123139104432,1
BA,6042300,CAMPUS BUS SERVICE,BUSS,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c556b6ae-f0f1-11e0-b437-123139104432,1
BA,6044006,WEB ONLINE EXPENSE,IDS,1982-02-19 00:00:00,1982-02-19 00:00:00,2049-01-01 00:00:00,N,c56eed64-f0f1-11e0-b437-123139104432,1
BA,6044007,IDS-CIRCULATION EXPENSE,IDS,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c5790ab0-f0f1-11e0-b437-123139104432,1
BA,6044012,IDS-REDISTRIBUTION EXPENSE,IDS,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c583a704-f0f1-11e0-b437-123139104432,1
BA,6044900,PARKING OPERATION,PARK,1976-07-01 00:00:00,1976-07-01 00:00:00,2049-01-01 00:00:00,N,c59ea734-f0f1-11e0-b437-123139104432,1
BA,6046600,TENNIS CENTER,TENN,2009-02-17 00:00:00,2009-02-17 00:00:00,2049-01-01 00:00:00,N,c5a90bb6-f0f1-11e0-b437-123139104432,1
BA,6047502,BRISCOE WELLNESS CENTER,BWAC,1993-05-21 00:00:00,1998-03-17 00:00:00,2049-01-01 00:00:00,N,c5b3653e-f0f1-11e0-b437-123139104432,1
BA,6047530,RESIDENTIAL PROGRAMS & SERVICES LIBRARY,RPSL,2001-03-26 00:00:00,2001-03-26 00:00:00,2049-01-01 00:00:00,N,c5bdb746-f0f1-11e0-b437-123139104432,1
BL,1020021,ART MUSEUM OPERATIONS,AMUS,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b49fe588-f0f1-11e0-b437-123139104432,1
BL,1020500,DEAN FOR WOMENS AFFAIRS,WOAF,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b4aa3dd0-f0f1-11e0-b437-123139104432,1
BL,1020712,UD RECORDS,UDIV,2001-04-16 00:00:00,2001-04-16 00:00:00,2049-01-01 00:00:00,N,b4ba9aa4-f0f1-11e0-b437-123139104432,1
BL,1021000,ADMISSIONS,ADMS,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b4c4fde6-f0f1-11e0-b437-123139104432,1
BL,1021110,DIVERSITY EDUCATION,OASD,1999-05-02 00:00:00,1999-05-02 00:00:00,2049-01-01 00:00:00,N,b4cf47f6-f0f1-11e0-b437-123139104432,1
BL,1021121,NEAL-MARSHALL CULTURE CTR,MULT,1999-05-02 00:00:00,1999-05-02 00:00:00,2049-01-01 00:00:00,N,b4d98eaa-f0f1-11e0-b437-123139104432,1
BL,1021130,FASE/STRATEGIC MENTORING,ACSP,1999-05-02 00:00:00,1999-05-02 00:00:00,2049-01-01 00:00:00,N,b4eeec64-f0f1-11e0-b437-123139104432,1
BL,1021141,ACADEMIC SUPPORT CENTER,ACSP,1999-12-20 00:00:00,1999-12-20 00:00:00,2049-01-01 00:00:00,N,b4f93e58-f0f1-11e0-b437-123139104432,1
BL,1021145,GROUPS,ACSP,1999-05-02 00:00:00,1999-05-02 00:00:00,2049-01-01 00:00:00,N,b5039088-f0f1-11e0-b437-123139104432,1
BL,1021200,DEAN OF STUDENTS,SSER,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b50ddab6-f0f1-11e0-b437-123139104432,1
BL,1021202,ACTIVITIES OFFICE,SSER,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b51823fe-f0f1-11e0-b437-123139104432,1
BL,1021420,INFORMATION TECHNOLOGY/ENROLLMENT SERVIC,OES,1999-05-05 00:00:00,1999-05-05 00:00:00,2049-01-01 00:00:00,N,b524ca5a-f0f1-11e0-b437-123139104432,1
BL,1021500,STUDENT FINANCIAL ASSIST,OSFA,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b52f1276-f0f1-11e0-b437-123139104432,1
BL,1021600,REGISTRAR,REGR,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b53962bc-f0f1-11e0-b437-123139104432,1
BL,1026300,FINE ARTS-STUDIO,FINS,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b543ab5a-f0f1-11e0-b437-123139104432,1
BL,1028500,INTERNATIONAL STUDIES MAJOR,ISM,1993-07-01 00:00:00,2003-02-01 00:00:00,2049-01-01 00:00:00,N,b54dff6a-f0f1-11e0-b437-123139104432,1
BL,1029300,LINGUISTICS,LING,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b559179c-f0f1-11e0-b437-123139104432,1
BL,1032300,SLAVIC LANG AND LITERATURES,SLAV,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b563651c-f0f1-11e0-b437-123139104432,1
BL,1035300,SCHOOL OF LIB & INFO SCI,SLIS,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b56db418-f0f1-11e0-b437-123139104432,1
BL,1035340,SLIS GRADUATE PROGRAM ASSISTANTSHIPS,SLIS,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b5783a3c-f0f1-11e0-b437-123139104432,1
BL,1035500,OPTOMETRY,OPT,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b5828a32-f0f1-11e0-b437-123139104432,1
BL,1035512,OPTOMETRY- STUDENT ADMIN AND RECRUIT,OPT,2008-12-24 00:00:00,2008-12-24 00:00:00,2049-01-01 00:00:00,N,b58fee66-f0f1-11e0-b437-123139104432,1
BL,1036210,BUSINESS ACCOUNTING DEPARTMENT,ACTG,1993-07-01 00:00:00,1993-07-01 00:00:00,2049-01-01 00:00:00,N,b59a28e0-f0f1-11e0-b437-123139104432,1
BL,1036212,BUSINESS-M300 INSTRUCTIONAL SUPPORT,UNDG,1998-07-23 00:00:00,1998-07-23 00:00:00,2049-01-01 00:00:00,N,b5a47eee-f0f1-11e0-b437-123139104432,1
BL,1036231,A100 INSTRUCTIONAL SUPPORT,ACTG,2006-03-07 00:00:00,2006-03-07 00:00:00,2049-01-01 00:00:00,N,b5b25212-f0f1-11e0-b437-123139104432,1
BL,1036237,A201 INSTRUCTIONAL SUPPORT,ACTG,2006-03-15 00:00:00,2006-03-15 00:00:00,2049-01-01 00:00:00,N,b5c64c0e-f0f1-11e0-b437-123139104432,1
BL,1036238,A202 INSTRUCTIONAL SUPPORT,ACTG,2006-03-15 00:00:00,2006-03-15 00:00:00,2049-01-01 00:00:00,N,b5d0a366-f0f1-11e0-b437-123139104432,1
