UNIV_FISCAL_YR,FIN_COA_CD,FIN_OBJECT_CD,FIN_OBJ_CD_NM,FIN_OBJ_CD_SHRT_NM,FIN_OBJ_ACTIVE_CD,OBJ_ID,VER_NBR
2010,BA,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,4edd13f6-f0f6-11e0-b437-123139104432,1
2010,BA,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,4ef63426-f0f6-11e0-b437-123139104432,1
2010,BA,3000,NON STUDENT REG HOURS,HRLY REGULAR,Y,4f0f07b2-f0f6-11e0-b437-123139104432,1
2010,BA,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,4f27face-f0f6-11e0-b437-123139104432,1
2010,BA,3200,OVERTIME - STAFF,O T - STAFF,Y,4f422070-f0f6-11e0-b437-123139104432,1
2010,BA,3250,OVERTIME - HOURLY,O T - HRLY,Y,4f5b06ee-f0f6-11e0-b437-123139104432,1
2010,BA,3300,COMMUNITY SERVICE WORK STUDY,SUM ST WSTY,Y,4f77fed4-f0f6-11e0-b437-123139104432,1
2010,BA,3301,COMMUNITY SERVICE SUMMER WORKSTUDY,WKST SU CS,Y,4f91092e-f0f6-11e0-b437-123139104432,1
2010,BA,3390,90% COMMUNITY SERVICE WORKSTUDY,90%COMMSV WS,Y,4fac077e-f0f6-11e0-b437-123139104432,1
2010,BA,3500,STUDENT REG HOURS,STUDENT,Y,4fc4f856-f0f6-11e0-b437-123139104432,1
2010,BA,3800,STUDENT WORK STUDY,STU WRKSTDY,Y,4fe1e88a-f0f6-11e0-b437-123139104432,1
2010,BA,3801,REGULAR SUMMER WORKSTUDY,WKST SU REG,Y,4ffc6d2c-f0f6-11e0-b437-123139104432,1
2010,BA,3950,WRKSTUDY COMMUNITY SERVICE READING TUTOR,WKST CSRD,Y,501a00da-f0f6-11e0-b437-123139104432,1
2010,BL,2480,PROFESSIONAL NONEXEMPT,PROF NONXMPT,Y,5032f838-f0f6-11e0-b437-123139104432,1
2010,BL,2500,NON-EXEMPT STAFF SALARIES,NON-EX STAFF,Y,504c6336-f0f6-11e0-b437-123139104432,1
2010,BL,3000,HOURLY STAFF-NON-STUDENT REGULAR HOURS,HR ST NS REG,Y,50657bf0-f0f6-11e0-b437-123139104432,1
2010,BL,3050,PERF HOURLY COMPENSATION,PERF HOURLY,Y,5084c618-f0f6-11e0-b437-123139104432,1
2010,BL,3200,OVERTIME - STAFF,O T - STAFF,Y,509da520-f0f6-11e0-b437-123139104432,1
2010,BL,3250,OVERTIME - HOURLY,O T - HRLY,Y,50b9c606-f0f6-11e0-b437-123139104432,1
2010,BL,3300,COMMUNITY SERVICE WORK STUDY,COMM SV WSTY,Y,50d2c3ae-f0f6-11e0-b437-123139104432,1
