HR_EARN_CODE_SECURITY_ID,LOCATION,DEPT,HR_SAL_GROUP,EARN_CODE,EARN_CODE_TYPE,EMPLOYEE,APPROVER,EFFDT,TIMESTAMP,ACTIVE,USER_PRINCIPAL_ID,OBJ_ID,VER_NBR,GRP_KEY_CD
10000,%,%,%,LHOL-U,L,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA633CAF2185E0404F0A27625B96,1,IU-IN
10001,%,%,%,LSCK-U,L,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA633CAF2185E0404F0A27625B96,1,IU-IN
10002,%,%,%,LVAC-U,L,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA633CAF2185E0404F0A27625B96,1,IU-IN
10003,%,%,%,THOL-U,B,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA633CAF2185E0404F0A27625B96,1,IU-IN
10004,%,%,%,TSCK-U,B,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA633CAF2185E0404F0A27625B96,1,IU-IN
10005,%,%,%,TVAC-U,B,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA633CAF2185E0404F0A27625B96,1,IU-IN
10006,%,%,CL,ABS,T,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339522185E0404F0A27625B96,1,IU-IN
10007,%,%,CL,ADW,T,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339532185E0404F0A27625B96,1,IU-IN
10008,%,%,CL,AFL,T,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339542185E0404F0A27625B96,1,IU-IN
10009,%,%,CL,AMC,T,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339552185E0404F0A27625B96,1,IU-IN
10010,%,%,CL,AML,T,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339562185E0404F0A27625B96,1,IU-IN
10011,%,%,CL,ANV,T,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339572185E0404F0A27625B96,1,IU-IN
10012,%,%,CL,AWB,T,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339582185E0404F0A27625B96,1,IU-IN
10013,%,%,CL,CAL,T,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339592185E0404F0A27625B96,1,IU-IN
10014,%,%,CL,CPF,T,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA63395A2185E0404F0A27625B96,1,IU-IN
10015,%,%,CL,CPH,T,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA63395B2185E0404F0A27625B96,1,IU-IN
10016,%,%,CL,CPM,T,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA63395C2185E0404F0A27625B96,1,IU-IN
10017,%,%,CL,CPT,T,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA63395D2185E0404F0A27625B96,1,IU-IN
10018,%,%,CL,CTD,T,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA63395E2185E0404F0A27625B96,1,IU-IN
10019,%,%,CL,EWP,T,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA63395F2185E0404F0A27625B96,1,IU-IN
10020,%,%,CL,FNL,T,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339602185E0404F0A27625B96,1,IU-IN
10021,%,%,CL,HAC,T,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339612185E0404F0A27625B96,1,IU-IN
10022,%,%,CL,HFC,T,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339622185E0404F0A27625B96,1,IU-IN
10023,%,%,CL,HFL,T,Y,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339632185E0404F0A27625B96,1,IU-IN
10024,%,%,CL,HIP,T,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339642185E0404F0A27625B96,1,IU-IN
10025,%,%,CL,HOC,T,N,Y,1901-01-01,2011-09-16 11:52:00,Y,admin,AD11FA6339652185E0404F0A27625B96,1,IU-IN
