ENTITY_AFLTN_ID,ENTITY_ID,AFLTN_TYP_CD,CAMPUS_CD,DFLT_IND,ACTV_IND,OBJ_ID,VER_NBR
10000,10000,STAFF,IN,Y,Y,KFS5091260103,1
10001,10001,STAFF,BL,Y,Y,KFS1815208190,1
10002,10002,STAFF,IN,Y,Y,KFS1203608260,1
10003,10003,STAFF,IN,Y,Y,KFS4032804674,1
10004,10004,STAFF,IN,Y,Y,KFS3506402959,1
10005,10005,STAFF,BL,Y,Y,KFS2537402233,1
10006,10006,STAFF,BL,Y,Y,KFS1249702947,1
10007,10007,STAFF,BL,Y,Y,KFS5864186557,1
10008,10008,STAFF,BL,Y,Y,KFS3366605276,1
10009,10009,STAFF,BL,Y,Y,KFS3216002071,1
10010,10010,STAFF,BL,Y,Y,KFS3936306076,1
10011,10011,STAFF,BL,Y,Y,KFS3898405507,1
10012,10012,STAFF,BL,Y,Y,KFS1509103107,1
10013,10013,STAFF,BL,Y,Y,KFS1604603002,1
10014,10014,STAFF,BL,Y,Y,KFS1288107367,1
10015,10015,STAFF,BL,Y,Y,KFS5541982157,1
10016,10016,STAFF,BL,Y,Y,KFS1860501124,1
10017,10017,STAFF,BL,Y,Y,KFS5123417161,1
10018,10018,STAFF,BL,Y,Y,KFS4217300016,1
10019,10019,STAFF,BL,Y,Y,KFS3386606059,1
10020,10020,STAFF,BL,Y,Y,KFS5627764568,1
10021,10021,STAFF,BL,Y,Y,KFS2314806121,1
10022,10022,STAFF,BL,Y,Y,KFS5724576910,1
10023,10023,STAFF,BL,Y,Y,KFS2420700782,1
10024,10024,STAFF,BL,Y,Y,KFS3374304397,1
10025,10025,STAFF,BL,Y,Y,KFS5960270367,1
10026,10026,STAFF,BL,Y,Y,KFS5581304256,1
10027,10027,STAFF,BL,Y,Y,KFS3939002115,1
10028,10028,STAFF,BL,Y,Y,KFS3163207199,1
10029,10029,STAFF,BL,Y,Y,KFS5786044627,1
10030,10030,STAFF,BL,Y,Y,KFS3036403289,1
10031,10031,STAFF,BL,Y,Y,KFS4068002838,1
10032,10032,STAFF,BL,Y,Y,KFS2331903502,1
10033,10033,STAFF,BL,Y,Y,KFS3424308580,1
10034,10034,STAFF,BL,Y,Y,KFS3252309588,1
10035,10035,STAFF,BL,Y,Y,KFS1988805632,1
10036,10036,STAFF,BL,Y,Y,KFS5184668281,1
10037,10037,STAFF,BL,Y,Y,KFS5391187341,1
10038,10038,STAFF,BL,Y,Y,KFS3326404888,1
10039,10039,STAFF,BL,Y,Y,KFS5523259684,1
10040,10040,STAFF,BL,Y,Y,KFS5236961858,1
10041,10041,STAFF,BL,Y,Y,KFS5860226871,1
10042,10042,STAFF,BL,Y,Y,KFS5977546655,1
10043,10043,STAFF,BL,Y,Y,KFS3427200580,1
10044,10044,STAFF,BL,Y,Y,KFS2331909034,1
10045,10045,STAFF,BL,Y,Y,KFS5098033757,1
10046,10046,STAFF,BL,Y,Y,KFS2431808577,1
10047,10047,STAFF,BL,Y,Y,KFS5739003009,1
10048,10048,STAFF,BL,Y,Y,KFS5917208020,1
10049,10049,STAFF,BL,Y,Y,KFS5521474953,1
10050,10050,STAFF,BL,Y,Y,KFS2735702616,1
10051,10051,STAFF,BL,Y,Y,KFS3372600016,1
10052,10052,STAFF,BL,Y,Y,KFS3645307585,1
10053,10053,STAFF,BL,Y,Y,KFS2904700508,1
10054,10054,STAFF,BL,Y,Y,KFS1741404211,1
10055,10055,STAFF,BL,Y,Y,KFS5539529783,1
10056,10056,STAFF,BL,Y,Y,KFS5019133138,1
10057,10057,STAFF,BL,Y,Y,KFS5243549508,1
10058,10058,STAFF,BL,Y,Y,KFS5040559378,1
10059,10059,STAFF,BL,Y,Y,KFS5777172886,1
10060,10060,STAFF,BL,Y,Y,KFS3162503037,1
10061,10061,STAFF,BL,Y,Y,KFS4043300972,1
10062,10062,STAFF,BL,Y,Y,KFS3876307842,1
10063,10063,STAFF,BL,Y,Y,KFS2943509237,1
10064,10064,STAFF,BL,Y,Y,KFS3474208965,1
10065,10065,STAFF,BL,Y,Y,KFS3736602747,1
10066,10066,STAFF,IN,Y,Y,KFS1705103394,1
10067,10067,STAFF,BL,Y,Y,KFS3596609575,1
10068,10068,STAFF,BL,Y,Y,KFS5620597779,1
10069,10069,STAFF,BL,Y,Y,KFS5984193420,1
10070,10070,STAFF,BL,Y,Y,KFS4025604960,1
10071,10071,STAFF,BL,Y,Y,KFS5545433665,1
10072,10072,STAFF,BL,Y,Y,KFS2814003959,1
10073,10073,STAFF,BL,Y,Y,KFS5275554891,1
10074,10074,STAFF,BL,Y,Y,KFS5051708998,1
10075,10075,STAFF,BL,Y,Y,KFS1665808937,1
10076,10076,STAFF,BL,Y,Y,KFS1514106516,1
10077,10077,STAFF,BL,Y,Y,KFS2164400022,1
10078,10078,STAFF,BL,Y,Y,KFS2683807863,1
10079,10079,STAFF,BL,Y,Y,KFS5224664431,1
10080,10080,STAFF,BL,Y,Y,KFS2300300978,1
10081,10081,STAFF,BL,Y,Y,KFS5226160864,1
10082,10082,STAFF,BL,Y,Y,KFS5126018490,1
10083,10083,STAFF,BL,Y,Y,KFS3563401063,1
10084,10084,STAFF,BL,Y,Y,KFS5854895077,1
10085,10085,STAFF,BL,Y,Y,KFS1756202191,1
10086,10086,STAFF,BL,Y,Y,KFS4140303208,1
10087,10087,STAFF,BL,Y,Y,KFS3489706142,1
